sc_id,sc_title,sc_artist,local_id,local_title,local_artist,score,correct_id,notes
2167517061,Wonderwall,Hi I'm Ghost,5955,Wonderwall,Hi I'm Ghost; David Vance,0.7022675876719382,,
2175256953,Cry,Adventure Club,6067,Cry,Adventure Club， AVELLO,0.7162829156102589,,
2165520918,Sippin on Starlight,High Vibe Records,5956,Sippin on Starlight,Ayaharmony， Kadela,0.7243800374046147,,
2187411553,FREEKS,OSTRASIZE,6106,FREEKS,BiNARY,0.7559289460184546,,
2192068631,"Öwnboss, Sevek - Move Your Body (HURTBOX Remix)",HURTBOX,2259,Move Your Body (Hedex Remix),Öwnboss,0.7587927624110882,,
2184596443,Gallium x DropTalk - Recess,SubCarbon Records,6097,Gallium x DropTalk - Recess,Gallium,0.7594897484713811,,
2169494205,JAMiAM - Actin Up,Trippy Bee Records,5906,Actin Up,JAMiAM,0.7646118208536041,,
2191763635,Yewz - Energy,LoFreq,6088,Yewz - Energy,Yewz,0.7795659540570272,,
2065523160,Hustlin' (BAWDY Flip) | Supported by Levity,BAWDY,5882,Hustlin' (BAWDY Flip),BAWDY,0.7986546967434979,,
2181667603,Liu Kang x Wolfie - Wonkestra,Cyclops Recordings,6053,Liu Kang x Wolfie - Wonkestra,Liu Kang x Wolfie,0.8150238993527621,,
2192107907,Jackpot (Space Wizard Remix),Kompany,6109,Jackpot (Space Wizard Remix),Kompany， IVORY， Space Wizard,0.8164718624823836,,
2009170771,day 9 - trippin,jpky,5910,trippin,day 9,0.8190946433629722,,
2192107895,Jackpot (Spag Heddy Remix),Kompany,6077,Jackpot (Spag Heddy Remix),Kompany， IVORY， Spag Heddy,0.8283217411559691,,
2192220995,Fire,LYNY,6076,Fire,LYNY,0.833069947278831,,
2187332783,Bring The House Down,DJ SNAKE,6058,Bring The House Down,DJ Snake， Dillon Francis， TRXGGX,0.8390501024919279,,
2176706994,Bugatti w/ H808,Modestep,6091,Bugatti w/ H808,Modestep， H808,0.8393214545453911,,
2051831588,REAL,BAWDY,5847,REAL,BAWDY,0.8446288959166826,,
2069612808,BURN,2SUM,5958,BURN,2SUM,0.8545830215662894,,
2136145995,Section,LYNY,5919,Section,LYNY,0.8663726592004963,,
2176917936,Freestyle,Fervor,5846,Freestyle,Fervor,0.8671925847951341,,
2140462194,Wackman,Wooli 🐘,5957,Wackman,Wooli ,0.8677288887160945,,
2083225473,Contorted,REZZ,5895,Contorted,REZZ,0.8682055850488537,,
2165231421,FAKEOUT,Tisoki,5861,FAKEOUT,Tisoki,0.8692506794258028,,
2000175151,ABRACADABRA (YUNAGY EDIT),YUNAGY,5845,ABRACADABRA (YUNAGY EDIT),Maddix,0.8701950734480196,,
2164087740,WARPIPE,STVSH,6070,WARPIPE,STVSH,0.8705622364403538,,
2078820692,weightless,WINK,5937,weightless,WINK,0.8713543669214066,,
2192699631,KANLY,feyd,6074,KANLY,feyd,0.8728715609439697,,
1506750889,titanium,vyle,5933,titanium,vyle,0.8728715609439697,,
2004215767,Casey Club - Grill,UKF,5903,Grill,Casey Club,0.8750037485100202,,
2158074027,Paper Tiger Heart,THEFLU,5860,Paper Tiger Heart,Bit Signal,0.880758943670116,,
2161100049,Crankdat & NGHTMRE - TYPE SH*T (feat. Duke Deuce) [ERGOSUM REMIX],ERGOSUM,5827,TYPE SH*T ft. Duke Deuce (ERGOSUM Remix),Crankdat; NGHTMRE; Duke Deuce,0.8856251490268627,,
247202480,Daybreak,Electric Mantis,5853,Daybreak,Electric Mantis,0.891138747508484,,
2175415311,BACK2FRONT,Segan's Selects,6087,BACK2FRONT,Segan's Selects,0.8917270417708106,,
2032343188,day 30 - win,jpky,5834,win,day 30,0.8926560475161851,,
2183540187,TIME & SPACE,NOVUH,6062,TIME & SPACE,NOVUH,0.8981613191725356,,
2076494984,Weird & ODD (Liiksu Flip),Liiksu,5923,Weird & ODD (Liiksu Flip),WODD,0.8983851843159851,,
2172062226,TVBOO - Bounce,Wakaan,6069,TVBOO - Bounce,TVBOO,0.9029086584315054,,
1933179128,ENEMIES (feat. bludnymph& Shift K3Y) (Phrva Remix),Gryffin,5870,ENEMIES ft. bludnymph; Shift K3Y (Phrva Remix),Gryffin; bludnymph; Shift K3Y; Phrva,0.9047119034830928,,
1648434204,No Problem (CTiu's UKG Edit),ctiu,5867,No Problem (CTiu's UKG Edit),Chance The Rapper,0.9066078584275971,,
2186085488,The Same,Segan,6096,The Same,Segan,0.906893861063221,,
2110646007,No Broke Boys (AYCH X ANON FLIP),AYCH,5824,No Broke Boys (AYCH; ANON Flip),Disco Lines; Tinashe; AYCH; ANON,0.9075333836444319,,
1793914798,Eminem - Superman (Flakzz Bootleg) [BIRTHDAY FREEBIE],Flakzz,5821,Superman [BIRTHDAY FREEBIE] (Flakzz Bootleg),Eminem,0.9080708334359759,,
2185776108,Swing Dub,msft.,6108,Swing Dub,msft.,0.9099347389272747,,
1921604867,getLOUDER! (VIP),Strobez,5892,getLOUDER! (VIP),Strobez,0.9116369878426903,,
2168253897,JIQUI - PUMP UP,Jiqui,5890,PUMP UP,JIQUI,0.9140150268461853,,
2140459467,Eternal Coffee,MERIIX,5836,Eternal Coffee,meriix,0.9159041198591629,,
1955830675,Caged Within [Free Download],Filthy,5876,Caged Within,Filthy,0.9165535952896876,,
2149099314,JIQUI - DROP TOP,Jiqui,5865,DROP TOP,JIQUI,0.9176275775588253,,
2157618093,SweetTooth x DMZ NEWS OFFICIAL - LOCKED IN,Beat Intelligence Network,5960,SweetTooth x DMZ NEWS OFFICIAL - LOCKED IN,SweetTooth， DMZ NEWS OFFICIAL,0.9180721547608828,,
2172046062,Capochino - Hypnotic,Wakaan,6111,Capochino - Hypnotic,Capochino,0.9181859528571329,,
2177154789,Scafetta- WARPEDREALITY,ScAℲeTtA_Music,6047,Scafetta- WARPEDREALITY,ScAℲeTtA_Music,0.9200225778681453,,
2148081228,walipo - games begin,Reinelex Records,5944,games begin,walipo,0.9212613848407438,,
2186237208,MEDIEVAL TIMES,Kozmoz,6107,MEDIEVAL TIMES,Kozmoz,0.9212986675908833,,
2191093503,Dino Killer (Dodge & Fuski Remix),Virtual Riot,6081,Dino Killer (Dodge & Fuski Remix),Virtual Riot， Dodge & Fuski,0.9213724238253216,,
2034609236,GTA - SARIA'S TURN UP (MONSTERS EVERYWHERE FLIP) *SUPPORTED BY EXCISION & SUBTRONICS,MONSTERS EVERYWHERE,5901,SARIA'S TURN UP *SUPPORTED BY EXCISION & SUBTRONICS (MONSTERS EVERYWHERE Flip),GTA,0.9220524700460121,,
2148018747,AC13 & Ragdoll- Born Again,Bassrush,6072,AC13 & Ragdoll- Born Again,AC13 and Ragdoll,0.9234679303021133,,
2024366556,Paramore - Decode (Know Good Flip),Know Good,5851,Decode (Know Good Flip),Paramore,0.9265074727754308,,
2112558612,AHEE - Brain Rot (VIP) [OUT NOW on ZOT Records],👽AHEE👽,5823,Brain Rot (VIP),AHEE,0.9266091984757021,,
2165377038,Ossien- SYNCOPATION STATION,High Caliber Records,5959,Ossien- SYNCOPATION STATION,High Caliber Records,0.9277349837904454,,
2037437836,Ganja White Night x Boogie T - Original Sin,Ganja White Night,5809,Original Sin,Ganja White Night; Boogie T,0.9280147894751779,,
1953248231,Ganja White Night x Boogie T - Burnin,Ganja White Night,5813,Burnin,Ganja White Night; Boogie T,0.9280986260451172,,
2169223476,Say It - Flume (JVST LANDED rebook),JVST LANDED,5818,Flume (JVST LANDED rebook),Say It,0.9300617994359971,,
1874492991,Apashe - UEBOK (SUUNE Bootleg),SUUNE,5810,UEBOK (SUUNE Bootleg),Apashe,0.9306178007338306,,
2118872085,Mushroom King V.I.P,PsycheKaelic,5857,Mushroom King V.I.P,PsycheKaelic,0.9314229418935291,,
2189278115,Where Have You Been,Drinks On Me,6085,Where Have You Been,Drinks On Me,0.9339988484056776,,
2169264336,WHATS UP w/ Ray Volpe,Virtual Riot,5941,WHATS UP w/ Ray Volpe,Virtual Riot,0.9351258138000716,,
2104661451,FREAKY & WODD - HOT MILK,FREAKY,5883,HOT MILK,FREAKY; WODD,0.9355140740989856,,
2191105611,Nights on Fire 2024 (hayve Remix),Virtual Riot,6082,Nights on Fire 2024 (hayve Remix),Virtual Riot， Hayve,0.9356853463215888,,
2091993030,⁠Hang My Heart,Modestep,6093,⁠Hang My Heart,Modestep,0.9360509198414669,,
2196371675,HEYZ x WODD - Sexy Back,HEYZ,6073,HEYZ x WODD - Sexy Back,HEYZ， WODD,0.9376185743290915,,
1652744727,Black Tiger Sex Machine x WODD - Brainwashed,Black Tiger Sex Machine,5815,Brainwashed,Black Tiger Sex Machine x WODD,0.9376578877949031,,
2177252391,Lil Wayne - A Milli (RANKZ Flip) [FREE DOWNLOAD],RANKZ,5908,A Milli (RANKZ Flip),Lil Wayne,0.9381074683026422,,
2153240757,The Black Eyed Peas - Rock That Body (Daevo & Jay Phoenix VIP Edit) [FREE DOWNLOAD],EDM FAMILY Remixes,5945,Rock That Body (Daevo & Jay Phoenix VIP Edit) [FREE DOWNLOAD],The Black Eyed Peas,0.9382515615518939,,
2163955554,Limerence ft. Cassyette,Modestep,6092,Limerence ft. Cassyette,Modestep,0.9405050747021901,,
2157656259,NO HANDS - SIDEQUEST (CLUB WEAPON),SIDEQUEST,5912,SIDEQUEST (CLUB WEAPON),NO HANDS,0.9422872054011081,,
2115990360,BOOGIE T & CYCLOPS - NOISE COMPLAINT,CYCLOPS,5920,NOISE COMPLAINT,BOOGIE T; CYCLOPS,0.9430693221747978,,
2120351373,GNARLES BARKELY - CRAZY (WESTWOOD FLIP),WESTWOOD,5889,CRAZY (WESTWOOD Flip),GNARLES BARKELY,0.9434725105093111,,
2176200882,Zeds Dead & Flux Pavilion - WAVES (SETH DAVID & AZASSIN FLIP),Seth David,5925,WAVES (SETH DAVID; AZASSIN Flip),Zeds Dead; Flux Pavilion,0.9436193185286015,,
